isin,name,quantity,cost_basis_eur,avg_price_eur,realized_eur
IE00BK5BQT80,Vanguard Funds PLC - Vanguard FTSE All-World UCITS ETF (USD) Accumulating,33.602738,5279.80,157.1241,0.00
IE00BKM4GZ66,iShares plc - iShares Core MSCI EM IMI UCITS ETF USD (Acc),20.550552,976.99,47.5410,57.77
XF000XRP0018,XRP,13.000000,16.22,1.2477,-40.41
IE000J80JTL1,First Trust Global Funds ICAV - First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF Class A USD ACC,12.856311,737.95,57.3997,70.42
IE000YU9K6K2,VanEck UCITS ETFs plc - VanEck Space Innovators UCITS ETF,4.000000,340.60,85.1500,332.69
CA13321L1085,CAMECO CORP.,2.812640,252.00,89.5955,0.00
US21037T1097,CONSTELLATION ENERGY,1.532830,335.92,219.1502,1.20
JE00B588CD74,WisdomTree Physical Swiss Gold,0.750000,263.39,351.1867,-31.06
FR001400SVN0,DRONE VOLT SACA EO 1,1500.000000,1921.00,1.2807,-510.87
IE00BM67HL84,Xtrackers (IE) Plc - Xtrackers MSCI World Financials UCITS ETF 1C,0.536840,20.03,37.3117,68.93
IE00BQQP9F84,VanEck UCITS ETFs plc - VanEck Gold Miners UCITS ETF,4.000000,288.64,72.1600,475.20
